name,alternative_names,allowed_owner,allowed_component_levels,allowed_sub_class,allowed_allocated_function_types,allowed_power_interfaces,allowed_data_interfaces,allowed_mechanical_interfaces,allowed_fluid_interfaces,allowed_thermal_interfaces
Amplifier,NONE,Communications,Unit,Travelling_Wave_Tube;_Ka_Band;X_Band;Low_Noise,NONE,Power_Bus;Electrical_Power_Conditioner,Transmitter;Transciever;Antenna;Reciever,NONE,NONE,Heat_Pipe
RF_Distrubution_Unit,NONE,Communications,Unit,NONE,NONE,Power_Bus,Transponder;Transmitter;Transciever;Reciever;Amplifier;Antenna,NONE,NONE,Heat_Pipe
Electrical_Power_Conditioner,NONE,Communications,Unit,NONE,NONE,Power_Bus,NONE,NONE,NONE,Heat_Pipe
Onboard_Computer,OBC,OBDH,Unit,NONE,NONE,Power_Bus;PCDU,Solid_State_Recorder;Data_Bus;Remote_Interface_Unit;Transmitter;Transciever,NONE,NONE,Heat_Pipe
Solid_State_Recorder,SSR;Mass_Memory;SSMM;Data_Storage_Unit,OBDH,Unit,NONE,NONE,Power_Bus;PCDU,Data_Bus,NONE,NONE,Heat_Pipe
Remote_Interface_Unit,Remote_Terminal_Unit,OBDH,Unit,NONE,NONE,Power_Bus,Data_Bus;IO_remote_data_processing_and_power_distribution_board,NONE,NONE,Heat_Pipe
Data_Bus,NONE,OBDH,Unit,UART;SpaceWire;SpaceWire;CAN,NONE,NONE,NONE,NONE,NONE,Heat_Pipe
Actuator_Drive_Electronics,NONE,OBDH,Unit,NONE,NONE,Power_Bus,Data_Bus,NONE,NONE,Heat_Pipe
Payload_Actuator,NONE,Payload,Unit,NONE,NONE,Power_Bus;PCDU,Payload_Electronics;Payload_Unit,NONE,NONE,Heat_Pipe
Payload_Electronics,Payload_Control,Payload,Unit,NONE,NONE,Power_Bus;PCDU,Data_Bus;Payload_Unit,NONE,NONE,Heat_Pipe
Payload_Unit,Instrument_Unit;Data_Generation,Payload,Unit,SAR;Radio;RADAR;Optical;Spectrometer,NONE,Power_Bus;PCDU;Payload_Electronics;Battery,Data_Bus,NONE,NONE,Heat_Pipe;Heater
Payload_Diplexer,NONE,Payload,Unit,NONE,NONE,Power_Bus;PCDU;Payload_Electronics;Payload_Unit,Payload_Electronics;Payload_Unit,NONE,NONE,Heat_Pipe
Payload_Antenna,NONE,Payload,Unit,NONE,NONE,NONE,Payload_Diplexer;Payload_Electronics;Payload_Unit,Payload_Actuator,NONE,NONE
Payload_Reflector,NONE,Payload,Unit,NONE,NONE,NONE,Payload_Antenna,Payload_Actuator,NONE,NONE
Ground_Station,NONE,Spacecraft,Subsystem,NONE,NONE,NONE,Spacecraft;Antenna;Data_Bus,NONE,NONE,NONE
